PRODUCT,TAGS
BD36,"BFA, All Bar Fridges, Schmick, Mini Bar, "
HUS-BC70B-ACME,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
HUS-BC70B-ROADIE-AUS,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
 HUS-BC70B-RC,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
HUS-BC46B-CRATE,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
 HUS-BC70B-WC,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
HUS-BC70B-EP,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
HUS-BC70B-CO,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
HUS-BC70B-SAFE,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
HUS-SC70-B-VB,"BFA, All Bar Fridges, VB, Mini Bar, Branded,"
HUS-SC70-B-GN,"BFA, All Bar Fridges, Great Northern, Mini Bar, Branded,"
HUS-SC70-B-CD,"BFA, All Bar Fridges, Carlton Dry, Mini Bar, Branded,"
HUS-BC70B-BB,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
 HUS-SC70-B-VB70V2,"BFA, All Bar Fridges, VB, Mini Bar, Branded,"
 HUS-SC70-B-GNBC70-ORIG,"BFA, All Bar Fridges, Great Northern, Mini Bar, Branded,"
HUS-SC70-B-GNBC70-CRISP,"BFA, All Bar Fridges, Great Northern, Mini Bar, Branded,"
HUS-BC46B-DICE,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
HUS-BC46W-GN,"BFA, All Bar Fridges, Great Northern, Mini Bar, Branded,"
HUS-BC46W-GNBC46-ORIG,"BFA, All Bar Fridges, Great Northern, Mini Bar, Branded,"
HUS-BC46W-GNBC46-CRISP,"BFA, All Bar Fridges, Great Northern, Mini Bar, Branded,"
HUS-SC70L-SS,"BFA, All Bar Fridges, Schmick, Mini Bar, "
HUS-BC46B2-AMP,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
HUS-BC46W-CND-01,"BFA, All Bar Fridges, Carlton Draught, Mini Bar, Branded,"
HUS-BC46W-CND-02,"BFA, All Bar Fridges, Carlton Draught, Mini Bar, Branded,"
HUS-SC50-ACDC,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
HUS-SC50B,"BFA, All Bar Fridges, Schmick, Mini Bar,"
HUS-SC23C,"BFA, All Bar Fridges, Schmick, Mini Bar, "
HUS-BC46B2-SAFE,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
DW60E,"BFA, All Bar Fridges, DellWare, Mini Bar,"
HUS-BC46W-VB-02,"BFA, All Bar Fridges, VB, Mini Bar, Branded,"
HUS-BC46W-VB-01,"BFA, All Bar Fridges, VB, Mini Bar, Branded,"
HUS-BC46W-CO,"BFA, All Bar Fridges, Corona, Mini Bar, Branded,"
HUS-SC70-SS,"BFA, All Bar Fridges, Schmick, Mini Bar, "
HUS-SC50AB,"BFA, All Bar Fridges, Schmick, Mini Bar, "
 HUS-SC70-SS-COMBO,"BFA, All Bar Fridges, Schmick, Mini Bar, "
HUS-SC88-SS,"BFA, All Bar Fridges, Schmick, Mini Bar, "
 HUS-SC88L-SS,"BFA, All Bar Fridges, Schmick, Mini Bar, "
 HUS-SC70-SS-NED,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
HUS-SC88-SS-NED,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
HUS-SC50WH,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
